Water supply facility,Phase,Sampling point,Standpipe type,Distance from storage tank (m),FCR (mg/L),pH,Temperature (Celcius),Conductivity (µS/cm),Turbidity (NTU),Date (mm/dd/year),Time (24hrs)
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.21,6.54,28.7,202,0.30,2/8/2022,8:45
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.16,6.34,28.3,198,0.10,2/8/2022,8:52
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.10,6.44,29.7,200,0.12,2/9/2022,10:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.09,6.41,30.2,199,0.23,2/9/2022,10:21
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.13,6.66,30.2,201,0.12,2/9/2022,10:31
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.17,6.41,30.7,209,0.11,2/10/2022,10:21
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.18,6.37,30.8,200,0.11,2/10/2022,10:34
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.15,6.42,30.2,204,0.08,2/10/2022,10:44
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.09,6.39,30.8,206,0.27,2/11/2022,10:16
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,1.00,6.48,30.0,207,0.13,2/11/2022,10:51
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.91,6.43,29.8,188,0.13,2/14/2022,11:20
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.13,6.33,29.7,188,0.13,2/14/2022,11:30
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,1.09,6.43,30.5,188,0.15,2/14/2022,11:43
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.97,6.61,30.6,232,0.24,2/15/2022,9:50
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.86,6.40,30.2,229,0.15,2/15/2022,10:00
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.86,6.47,30.2,230,0.24,2/15/2022,10:11
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.77,6.46,29.5,233,0.16,2/16/2022,10:13
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.73,6.36,29.7,224,0.19,2/16/2022,10:23
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.73,6.38,29.6,228,0.11,2/16/2022,10:34
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.70,6.67,32.4,236,0.26,2/17/2022,11:00
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.61,6.47,32.1,250,0.14,2/17/2022,11:11
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.50,6.54,31.4,240,0.14,2/17/2022,11:23
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.53,6.56,28.6,227,0.15,2/18/2022,8:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.47,6.51,29.0,222,0.11,2/18/2022,8:48
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.38,6.41,28.7,226,0.10,2/18/2022,8:59
